is_act;filters_categories;translation_key;value;pri_trans;primary_translation;sec_trans;secondary_translation;pri_desc;primary_description;sec_desc;secondary_description
1;filters-translations-categories-navs;nav-link-follow-us-facebook;;1;Follow us on Facebook;1;Volg ons op Facebook;0;;0;
1;filters-translations-categories-navs;nav-link-follow-us-instagram;;1;Follow us on Instagram;1;Volg ons op Instagram;0;;0;
1;filters-translations-categories-navs;nav-link-follow-us-linked-in;;1;Follow us on LinkedIn;1;Volg ons op LinkedIn;0;;0;
1;filters-translations-categories-navs;nav-link-follow-us-twitter;;1;Follow us on Twitter;1;Volg ons op Twitter;0;;0;
1;filters-translations-categories-navs;nav-link-security-forgot;;1;Forgot Password;1;Verlore Wagwoord;0;;0;
1;filters-translations-categories-navs;nav-link-security-signin;;1;Sign In;1;Teken In;0;;0;
1;filters-translations-categories-navs;nav-link-security-signup;;1;Sign Up;1;Registreer;0;;0;
1;filters-translations-categories-navs;nav-link-security-support;;1;Technical Support;1;Tegniese Onderstuening;0;;0;
1;filters-translations-categories-navs;nav-link-sign-off;;1;Sign Off;1;Teken Af;0;;0;
1;filters-translations-categories-navs;nav-link-site-about;;1;About Us;1;Wie is ons;0;;0;
1;filters-translations-categories-navs;nav-link-site-disclaimer;;1;Website Disclaimer;1;Webwerf Vrywaring;0;;0;
1;filters-translations-categories-navs;nav-link-site-home;;1;Home;1;Tuis;0;;0;
1;filters-translations-categories-navs;nav-link-site-privacy;;1;Privacy Statement;1;Privaatheid verklaring;0;;0;
1;filters-translations-categories-navs;nav-link-site-security;;1;Security;1;Sekuriteit;0;;0;
1;filters-translations-categories-navs;nav-link-site-services;;1;Services;1;Dienste;0;;0;
1;filters-translations-categories-navs;nav-link-site-terms;;1;Terms and Conditions;1;Bepalings en voorwaardes;0;;0;
1;filters-translations-categories-navs;nav-link-site-cheatsheet;;1;Cheatsheet;1;Kroekbladsy;0;;0;
