is_act;filters_categories;translation_key;value;pri_trans;primary_translation;sec_trans;secondary_translation;pri_desc;primary_description;sec_desc;secondary_description
1;filters-translations-categories-texts;text-actions;;1;Actions;1;Aksies;0;;0;
1;filters-translations-categories-texts;text-active;;1;Active;1;Aktief;0;;0;
1;filters-translations-categories-texts;text-approval-particulars;;1;Approval Particulars;1;Goedkeuring Besonderhede;0;;0;
1;filters-translations-categories-texts;text-behavior;;1;Behavior;1;Gedrag;0;;0;
1;filters-translations-categories-texts;text-created;;1;Created;1;Geskep;0;;0;
1;filters-translations-categories-texts;text-create-new;;1;Create New;1;Skep Nuwe;0;;0;
1;filters-translations-categories-texts;text-day;;1;Day;1;Dag;0;;0;
1;filters-translations-categories-texts;text-deactivated;;1;Deactivated;1;Gedeaktiveer;0;;0;
1;filters-translations-categories-texts;text-delete;;1;Delete;1;Skrap;0;;0;
1;filters-translations-categories-texts;text-description;;1;Description;1;Beskrywing;0;;0;
1;filters-translations-categories-texts;text-documentation;;1;Documentation;1;Documentation;0;;0;
1;filters-translations-categories-texts;text-edit;;1;Edit;1;Wysig;0;;0;
1;filters-translations-categories-texts;text-view;;1;View;1;Besigtig;0;;0;
1;filters-translations-categories-texts;text-inactive;;1;Inactive;1;Onaktief;0;;0;
1;filters-translations-categories-texts;text-link-user-profile;;1;Link User Profile;1;Koppel gebruikerprofiel;0;;0;
1;filters-translations-categories-texts;text-list;;1;List;1;Lys;0;;0;
1;filters-translations-categories-texts;text-translation-custom-key;;1;Custom Key;1;Pasgemaakte sleutel;0;;0;
1;filters-translations-categories-texts;text-translation-auto-key;;1;Auto Generated Key;1;Outo-gegenereerde sleutel;0;;0;
1;filters-translations-categories-texts;text-unknown;;1;Unknown;1;Onbekend;0;;0;
1;filters-translations-categories-texts;text-updated;;1;Updated;1;Opgedateer;0;;0;
1;filters-translations-categories-texts;text-updated-at;;1;Updated at;1;Opgedateer op;0;;0;
1;filters-translations-categories-texts;text-updated-by;;1;Updated by;1;Opgedateer duer;0;;0;
1;filters-translations-categories-texts;text-brand-xampp;;1;XAMPP is the most popular PHP development environment;1;XAMPP is the most popular PHP development environment;0;;0;
1;filters-translations-categories-texts;text-brand-mysql;;1;MySQL - The world's most popular open source database;1;MySQL - The world's most popular open source database;0;;0;
1;filters-translations-categories-texts;text-brand-phpmyadmin;;1;phpMyAdmin - Bringing MySQL to the web;1;phpMyAdmin - Bringing MySQL to the web;0;;0;
1;filters-translations-categories-texts;text-brand-symfony;;1;Symfony - High Performance PHP Framework for Web Development;1;Symfony - High Performance PHP Framework for Web Development;0;;0;
1;filters-translations-categories-texts;text-brand-php;;1;PHP - Hypertext Preprocessor;1;PHP - Hypertext Preprocessor;0;;0;
1;filters-translations-categories-texts;text-brand-bootstrap;;1;Bootstrap - The most popular HTML, CSS, and JS library in the world;1;Bootstrap - The most popular HTML, CSS, and JS library in the world;0;;0;
